ColonyID,Species,Site,Pair,Bleach,Date,Airbrush Date,volume (mL),Notes.x,Squares counted,Notes.y,Tech,Date Counted,CV,rep,count,count_mean,cells.mL,cells
209,Montipora capitata,13,11,Bleach,2019-12-04,20220321,11.5,7 + Bag leaked ~4-5 mL spilled out,9,dropped count: 94,Kristen,20220421,17.681567341771743,Count4,181,162.33333333333334,180370.3703703704,2074259.2592592596
210,Montipora capitata,13,11,Non-bleach,2019-12-04,20220321,4.5,NA,9,dropped count: 100,Kristen,20220421,23.228349339067382,Count4,222,173.33333333333334,192592.5925925926,866666.6666666667
211,Montipora capitata,13,12,Bleach,2019-12-04,20220321,12,NA,7,NA,Kristen,20220421,14.287769032425302,Count4,223,180.33333333333334,257619.04761904763,3091428.571428572
212,Montipora capitata,13,12,Non-bleach,2019-12-04,20220321,8,NA,4,dropped count: 213,Kristen,20220421,14.516567889030933,Count4,130,161.16666666666666,402916.6666666666,3223333.333333333
217,Montipora capitata,13,13,Bleach,2019-12-04,20220413,13.5,nasty stuff from homogenizer..? Homogenate turned darker grey,7,NA,Kristen,20220427,14.394311230046439,Count4,211,200.16666666666666,285952.38095238095,3860357.1428571427
218,Montipora capitata,13,13,Non-bleach,2019-12-04,20220411,16,2 tubes,4,NA,Kristen,20220427,14.054449343837907,Count4,127,122,305000,4880000
219,Montipora capitata,13,14,Bleach,2019-12-04,20220321,15,NA,2,dropped count: 184,Kristen,20220427,19.921637401388885,Count4,112,125.16666666666667,625833.3333333334,9387500
220,Montipora capitata,13,14,Non-bleach,2019-12-04,20220321,7,NA,4,NA,Emma,20220419,12.660590326660623,Count4,160,150.66666666666666,376666.6666666666,2636666.6666666665
221,Montipora capitata,13,15,Bleach,2019-12-04,20220321,10,NA,6,NA,Kristen,20220427,11.853302127687794,Count4,152,159,265000,2650000
222,Montipora capitata,13,15,Non-bleach,2019-12-04,20220321,10.5,NA,4,NA,Kristen,20220427,7.258693940072515,Count4,151,170.83333333333334,427083.3333333334,4484375
3,Montipora capitata,13,1,Bleach,2019-07-16,20220413,4,NA,3,count dropped: 222,Emma,20220413,9.88773019200302,Count5,191,174,580000,2320000
4,Montipora capitata,13,1,Non-bleach,2019-07-16,20220413,7.25,NA,2,count dropped: 185,Emma,20220413,8.623688306055593,Count5,251,250,1250000,9062500
11,Montipora capitata,13,2,Bleach,2019-07-16,NA,NA,tiny; didn’t find bag,NA,don't have this fragment,NA,NA,NA,Count5,NA,NA,NA,NA
12,Montipora capitata,13,2,Non-bleach,2019-07-16,20220411,8.5,NA,3,NA,Kristen,20220419,10.673943729379594,Count5,141,174.33333333333334,581111.1111111111,4939444.444444445
19,Montipora capitata,13,3,Bleach,2019-07-16,20220411,8,NA,4,NA,Emma,20220419,7.8842177428505,Count5,197,221,552500,4420000
20,Montipora capitata,13,3,Non-bleach,2019-07-16,NA,NA,tiny; didn’t find bag,NA,don't have this fragment,NA,NA,NA,Count5,NA,NA,NA,NA
201,Montipora capitata,13,9,Bleach,2019-07-16,NA,NA,no more fragment,NA,don't have this fragment,NA,NA,NA,Count5,NA,NA,NA,NA
202,Montipora capitata,13,9,Non-bleach,2019-07-16,20220413,6,NA,4,NA,Kristen,20220419,10.269200197937083,Count5,176,171.16666666666666,427916.6666666666,2567500
203,Montipora capitata,13,10,Bleach,2019-07-16,20220411,2,tiny; no extra homogenate; double the SA for 2 fragments b/c half of skeleton crumbled in bag,6,dropped count: 124,Kristen,20220419,8.634166305763461,Count5,169,154,256666.66666666666,513333.3333333333
204,Montipora capitata,13,10,Non-bleach,2019-07-16,20220413,3.5,NA,3,NA,Kristen,20220427,8.813791422441387,Count5,141,152.33333333333334,507777.7777777778,1777222.2222222222
209,Montipora capitata,13,11,Bleach,2019-07-16,20220411,3,NA,8,NA,Kristen,20220428,14.279003434708839,Count5,190,172.5,215625,646875
210,Montipora capitata,13,11,Non-bleach,2019-07-16,20220411,7.5,NA,9,NA,Emma,20220419,12.65458052661163,Count5,175,170,188888.88888888888,1416666.6666666665
211,Montipora capitata,13,12,Bleach,2019-07-16,20220411,4.5,NA,9,dropped count: 114,Emma,20220419,12.98226268354059,Count5,168,143.66666666666666,159629.6296296296,718333.3333333333
212,Montipora capitata,13,12,Non-bleach,2019-07-16,20220413,4,NA,3,NA,Kristen,20220419,7.103271955696902,Count5,176,178.83333333333334,596111.1111111111,2384444.4444444445
217,Montipora capitata,13,13,Bleach,2019-07-16,20220413,7,nasty stuff from homogenizer..? Homogenate turned darker grey,6,NA,Kristen,20220413,10.388888009928698,Count5,158,173.33333333333334,288888.88888888893,2022222.2222222225
218,Montipora capitata,13,13,Non-bleach,2019-07-16,20220411,7,NA,2,dropped count: 210,Kristen,20220413,10.704174438827305,Count5,152,176.33333333333334,881666.6666666667,6171666.666666667
219,Montipora capitata,13,14,Bleach,2019-07-16,20220411,7,NA,4,NA,Kristen,20220413,5.031384336527609,Count5,164,154.16666666666666,385416.6666666666,2697916.6666666665
220,Montipora capitata,13,14,Non-bleach,2019-07-16,20220411,12.5,11 + 1-2 mL leaked out,2,NA,Kristen,20220413,6.737625701621431,Count5,176,180.5,902500,11281250
221,Montipora capitata,13,15,Bleach,2019-07-16,20220411,11.5,NA,7,NA,Kristen,20220419,8.128237317673353,Count5,135,136.5,195000,2242500
222,Montipora capitata,13,15,Non-bleach,2019-07-16,20220413,5.5,3.5 + 2 mL leaked out,5,dropped count: 223,Kristen,20220419,11.650722850817031,Count5,174,166.5,333000,1831500
3,Montipora capitata,13,1,Bleach,2019-12-04,20220317,9.5,NA,9,"dropped count: 53, 80",Kristen,20220420,12.82987888497981,Count5,126,109.16666666666667,121296.2962962963,1152314.8148148148
4,Montipora capitata,13,1,Non-bleach,2019-12-04,20220321,24,2 tubes,3,NA,Kristen,20220420,11.74360064573516,Count5,243,214.16666666666666,713888.8888888889,17133333.333333332
11,Montipora capitata,13,2,Bleach,2019-12-04,20220321,13.5,10 + 3-4 mL spilled out,9,dropped count: 283,Kristen,20220420,8.12238056494802,Count5,149,155.66666666666666,172962.96296296295,2335000
12,Montipora capitata,13,2,Non-bleach,2019-12-04,20220411,9.5,fragment crumbled,3,NA,Kristen,20220420,7.04823300451996,Count5,175,173.16666666666666,577222.2222222221,5483611.11111111
19,Montipora capitata,13,3,Bleach,2019-12-04,20220321,26.5,2 tubes,5,NA,Kristen,20220420,7.316960279182322,Count5,182,182.83333333333334,365666.6666666667,9690166.666666668
20,Montipora capitata,13,3,Non-bleach,2019-12-04,20220321,28,2 tubes,4,"dropped count: 180, 179",Kristen,20220420,12.856143354807612,Count5,217,238.66666666666666,596666.6666666666,16706666.666666666
201,Montipora capitata,13,9,Bleach,2019-12-04,20220321,13,NA,4,"dropped count: 250, 140",Kristen,20220413,12.383780485292881,Count5,164,177.33333333333334,443333.3333333334,5763333.333333334
202,Montipora capitata,13,9,Non-bleach,2019-12-04,20220321,11,NA,4,NA,Kristen,20220421,7.549229553289627,Count5,200,197.5,493750,5431250
203,Montipora capitata,13,10,Bleach,2019-12-04,20220411,14,NA,6,NA,Kristen,20220421,10.554307094136776,Count5,142,163.16666666666666,271944.44444444444,3807222.222222222
204,Montipora capitata,13,10,Non-bleach,2019-12-04,20220321,17.5,2 tubes,9,NA,Kristen,20220421,12.964951397008301,Count5,164,186.16666666666666,206851.85185185182,3619907.4074074067
209,Montipora capitata,13,11,Bleach,2019-12-04,20220321,11.5,7 + Bag leaked ~4-5 mL spilled out,9,dropped count: 94,Kristen,20220421,17.681567341771743,Count5,152,162.33333333333334,180370.3703703704,2074259.2592592596
210,Montipora capitata,13,11,Non-bleach,2019-12-04,20220321,4.5,NA,9,dropped count: 100,Kristen,20220421,23.228349339067382,Count5,139,173.33333333333334,192592.5925925926,866666.6666666667
211,Montipora capitata,13,12,Bleach,2019-12-04,20220321,12,NA,7,NA,Kristen,20220421,14.287769032425302,Count5,157,180.33333333333334,257619.04761904763,3091428.571428572
212,Montipora capitata,13,12,Non-bleach,2019-12-04,20220321,8,NA,4,dropped count: 213,Kristen,20220421,14.516567889030933,Count5,158,161.16666666666666,402916.6666666666,3223333.333333333
217,Montipora capitata,13,13,Bleach,2019-12-04,20220413,13.5,nasty stuff from homogenizer..? Homogenate turned darker grey,7,NA,Kristen,20220427,14.394311230046439,Count5,222,200.16666666666666,285952.38095238095,3860357.1428571427
218,Montipora capitata,13,13,Non-bleach,2019-12-04,20220411,16,2 tubes,4,NA,Kristen,20220427,14.054449343837907,Count5,111,122,305000,4880000
219,Montipora capitata,13,14,Bleach,2019-12-04,20220321,15,NA,2,dropped count: 184,Kristen,20220427,19.921637401388885,Count5,110,125.16666666666667,625833.3333333334,9387500
220,Montipora capitata,13,14,Non-bleach,2019-12-04,20220321,7,NA,4,NA,Emma,20220419,12.660590326660623,Count5,124,150.66666666666666,376666.6666666666,2636666.6666666665
221,Montipora capitata,13,15,Bleach,2019-12-04,20220321,10,NA,6,NA,Kristen,20220427,11.853302127687794,Count5,184,159,265000,2650000
222,Montipora capitata,13,15,Non-bleach,2019-12-04,20220321,10.5,NA,4,NA,Kristen,20220427,7.258693940072515,Count5,169,170.83333333333334,427083.3333333334,4484375
3,Montipora capitata,13,1,Bleach,2019-07-16,20220413,4,NA,3,count dropped: 222,Emma,20220413,9.88773019200302,Count6,174,174,580000,2320000
4,Montipora capitata,13,1,Non-bleach,2019-07-16,20220413,7.25,NA,2,count dropped: 185,Emma,20220413,8.623688306055593,Count6,248,250,1250000,9062500
11,Montipora capitata,13,2,Bleach,2019-07-16,NA,NA,tiny; didn’t find bag,NA,don't have this fragment,NA,NA,NA,Count6,NA,NA,NA,NA
12,Montipora capitata,13,2,Non-bleach,2019-07-16,20220411,8.5,NA,3,NA,Kristen,20220419,10.673943729379594,Count6,187,174.33333333333334,581111.1111111111,4939444.444444445
19,Montipora capitata,13,3,Bleach,2019-07-16,20220411,8,NA,4,NA,Emma,20220419,7.8842177428505,Count6,202,221,552500,4420000
20,Montipora capitata,13,3,Non-bleach,2019-07-16,NA,NA,tiny; didn’t find bag,NA,don't have this fragment,NA,NA,NA,Count6,NA,NA,NA,NA
201,Montipora capitata,13,9,Bleach,2019-07-16,NA,NA,no more fragment,NA,don't have this fragment,NA,NA,NA,Count6,NA,NA,NA,NA
202,Montipora capitata,13,9,Non-bleach,2019-07-16,20220413,6,NA,4,NA,Kristen,20220419,10.269200197937083,Count6,170,171.16666666666666,427916.6666666666,2567500
203,Montipora capitata,13,10,Bleach,2019-07-16,20220411,2,tiny; no extra homogenate; double the SA for 2 fragments b/c half of skeleton crumbled in bag,6,dropped count: 124,Kristen,20220419,8.634166305763461,Count6,158,154,256666.66666666666,513333.3333333333
204,Montipora capitata,13,10,Non-bleach,2019-07-16,20220413,3.5,NA,3,NA,Kristen,20220427,8.813791422441387,Count6,166,152.33333333333334,507777.7777777778,1777222.2222222222
209,Montipora capitata,13,11,Bleach,2019-07-16,20220411,3,NA,8,NA,Kristen,20220428,14.279003434708839,Count6,130,172.5,215625,646875
210,Montipora capitata,13,11,Non-bleach,2019-07-16,20220411,7.5,NA,9,NA,Emma,20220419,12.65458052661163,Count6,188,170,188888.88888888888,1416666.6666666665
211,Montipora capitata,13,12,Bleach,2019-07-16,20220411,4.5,NA,9,dropped count: 114,Emma,20220419,12.98226268354059,Count6,144,143.66666666666666,159629.6296296296,718333.3333333333
212,Montipora capitata,13,12,Non-bleach,2019-07-16,20220413,4,NA,3,NA,Kristen,20220419,7.103271955696902,Count6,156,178.83333333333334,596111.1111111111,2384444.4444444445
217,Montipora capitata,13,13,Bleach,2019-07-16,20220413,7,nasty stuff from homogenizer..? Homogenate turned darker grey,6,NA,Kristen,20220413,10.388888009928698,Count6,168,173.33333333333334,288888.88888888893,2022222.2222222225
218,Montipora capitata,13,13,Non-bleach,2019-07-16,20220411,7,NA,2,dropped count: 210,Kristen,20220413,10.704174438827305,Count6,199,176.33333333333334,881666.6666666667,6171666.666666667
219,Montipora capitata,13,14,Bleach,2019-07-16,20220411,7,NA,4,NA,Kristen,20220413,5.031384336527609,Count6,152,154.16666666666666,385416.6666666666,2697916.6666666665
220,Montipora capitata,13,14,Non-bleach,2019-07-16,20220411,12.5,11 + 1-2 mL leaked out,2,NA,Kristen,20220413,6.737625701621431,Count6,171,180.5,902500,11281250
221,Montipora capitata,13,15,Bleach,2019-07-16,20220411,11.5,NA,7,NA,Kristen,20220419,8.128237317673353,Count6,139,136.5,195000,2242500
222,Montipora capitata,13,15,Non-bleach,2019-07-16,20220413,5.5,3.5 + 2 mL leaked out,5,dropped count: 223,Kristen,20220419,11.650722850817031,Count6,172,166.5,333000,1831500
3,Montipora capitata,13,1,Bleach,2019-12-04,20220317,9.5,NA,9,"dropped count: 53, 80",Kristen,20220420,12.82987888497981,Count6,120,109.16666666666667,121296.2962962963,1152314.8148148148
4,Montipora capitata,13,1,Non-bleach,2019-12-04,20220321,24,2 tubes,3,NA,Kristen,20220420,11.74360064573516,Count6,226,214.16666666666666,713888.8888888889,17133333.333333332
11,Montipora capitata,13,2,Bleach,2019-12-04,20220321,13.5,10 + 3-4 mL spilled out,9,dropped count: 283,Kristen,20220420,8.12238056494802,Count6,153,155.66666666666666,172962.96296296295,2335000
12,Montipora capitata,13,2,Non-bleach,2019-12-04,20220411,9.5,fragment crumbled,3,NA,Kristen,20220420,7.04823300451996,Count6,165,173.16666666666666,577222.2222222221,5483611.11111111
19,Montipora capitata,13,3,Bleach,2019-12-04,20220321,26.5,2 tubes,5,NA,Kristen,20220420,7.316960279182322,Count6,190,182.83333333333334,365666.6666666667,9690166.666666668
20,Montipora capitata,13,3,Non-bleach,2019-12-04,20220321,28,2 tubes,4,"dropped count: 180, 179",Kristen,20220420,12.856143354807612,Count6,194,238.66666666666666,596666.6666666666,16706666.666666666
201,Montipora capitata,13,9,Bleach,2019-12-04,20220321,13,NA,4,"dropped count: 250, 140",Kristen,20220413,12.383780485292881,Count6,143,177.33333333333334,443333.3333333334,5763333.333333334
202,Montipora capitata,13,9,Non-bleach,2019-12-04,20220321,11,NA,4,NA,Kristen,20220421,7.549229553289627,Count6,222,197.5,493750,5431250
203,Montipora capitata,13,10,Bleach,2019-12-04,20220411,14,NA,6,NA,Kristen,20220421,10.554307094136776,Count6,171,163.16666666666666,271944.44444444444,3807222.222222222
204,Montipora capitata,13,10,Non-bleach,2019-12-04,20220321,17.5,2 tubes,9,NA,Kristen,20220421,12.964951397008301,Count6,179,186.16666666666666,206851.85185185182,3619907.4074074067
209,Montipora capitata,13,11,Bleach,2019-12-04,20220321,11.5,7 + Bag leaked ~4-5 mL spilled out,9,dropped count: 94,Kristen,20220421,17.681567341771743,Count6,154,162.33333333333334,180370.3703703704,2074259.2592592596
210,Montipora capitata,13,11,Non-bleach,2019-12-04,20220321,4.5,NA,9,dropped count: 100,Kristen,20220421,23.228349339067382,Count6,213,173.33333333333334,192592.5925925926,866666.6666666667
211,Montipora capitata,13,12,Bleach,2019-12-04,20220321,12,NA,7,NA,Kristen,20220421,14.287769032425302,Count6,158,180.33333333333334,257619.04761904763,3091428.571428572
212,Montipora capitata,13,12,Non-bleach,2019-12-04,20220321,8,NA,4,dropped count: 213,Kristen,20220421,14.516567889030933,Count6,163,161.16666666666666,402916.6666666666,3223333.333333333
217,Montipora capitata,13,13,Bleach,2019-12-04,20220413,13.5,nasty stuff from homogenizer..? Homogenate turned darker grey,7,NA,Kristen,20220427,14.394311230046439,Count6,231,200.16666666666666,285952.38095238095,3860357.1428571427
218,Montipora capitata,13,13,Non-bleach,2019-12-04,20220411,16,2 tubes,4,NA,Kristen,20220427,14.054449343837907,Count6,109,122,305000,4880000
219,Montipora capitata,13,14,Bleach,2019-12-04,20220321,15,NA,2,dropped count: 184,Kristen,20220427,19.921637401388885,Count6,153,125.16666666666667,625833.3333333334,9387500
220,Montipora capitata,13,14,Non-bleach,2019-12-04,20220321,7,NA,4,NA,Emma,20220419,12.660590326660623,Count6,156,150.66666666666666,376666.6666666666,2636666.6666666665
221,Montipora capitata,13,15,Bleach,2019-12-04,20220321,10,NA,6,NA,Kristen,20220427,11.853302127687794,Count6,163,159,265000,2650000
222,Montipora capitata,13,15,Non-bleach,2019-12-04,20220321,10.5,NA,4,NA,Kristen,20220427,7.258693940072515,Count6,182,170.83333333333334,427083.3333333334,4484375
